Date,Open,High,Low,Close,Volume,DateTime
2025-03-09,329.6,334,316,323.5,1007356,
2025-03-10,192.75,195,184,185.74,119175,100320250000
2025-03-11,184,187,179.16,185.07,111737,110320250000
2025-03-12,187.2,187.35,179.45,180.49,100998,120320250000
2025-03-13,181.5,182.48,178.1,178.35,88571,130320250000
2025-03-17,178.4,179.98,173.35,175.05,154127,170320250000
2025-03-18,175.05,179.87,175.04,178.74,125600,180320250000
2025-03-19,179.97,185.5,179.07,183.88,150211,190320250000
2025-03-20,186.75,190,183.42,184.7,162304,200320250000
2025-03-21,186.15,189.9,185.15,188.95,279343,210320250000
2025-03-24,191.1,195.45,189.99,193.98,272955,240320250000
2025-03-25,194,195.88,185.4,186.31,248074,250320250000
2025-03-26,187.1,188.8,181.05,182.37,133266,260320250000
2025-03-27,181.5,186.89,181,184.91,186614,270320250000
2025-03-28,186.3,189.71,180.07,182.58,166279,280320250000
2025-04-01,181.99,189.39,181.02,188.69,120681,010420250000
2025-04-02,190.2,205,185.49,201.01,409862,020420250000
2025-04-03,198,210,196.57,206.53,323716,030420250000
2025-04-04,206.53,206.53,195,196.87,175257,040420250000
2025-04-07,185,191.97,181.55,188.5,156790,070420250000
2025-04-08,192.5,200.4,189.9,197.85,265430,080420250000
2025-04-09,199,206,197.01,200.51,389782,090420250000
2025-04-11,203,209.5,203,205.48,296131,110420250000
2025-04-15,207.54,225,207.41,220.2,639712,150420250000
2025-04-16,221,234.9,219.02,225.24,1050509,160420250000
2025-04-17,226.9,237,224.48,232.23,526280,170420250000
2025-04-21,233.9,239.39,230,232.25,438589,210420250000
2025-04-22,233.98,236.85,229.25,235.79,383426,220420250000
2025-04-23,237.4,237.75,226.21,229.01,232960,230420250000
2025-04-24,229.01,241,227,234.79,493244,240420250000
2025-04-25,236,236.55,217.98,218.56,613614,250420250000
2025-04-28,220.96,226.8,215.1,222.47,298737,280420250000
2025-04-29,223.05,228.9,217.62,223.1,217367,290420250000
2025-04-30,220.5,223.68,217.2,218.29,139946,300420250000
2025-05-02,219.1,223.06,215.02,217.61,151751,020520250000
2025-05-05,220.1,234,214.29,231.94,398540,050520250000
2025-05-06,232,233.03,216.26,218.18,232415,060520250000
2025-05-07,215,220.54,215,219.23,190693,070520250000
2025-05-08,222,229,215,216.93,293235,080520250000
2025-05-09,210.3,214.01,205.5,207.64,364570,090520250000
2025-05-12,219,225.7,216.56,222.59,255277,120520250000
2025-05-13,224.79,226.19,219.94,225.37,191772,130520250000
2025-05-14,225.37,226.8,221.06,222.02,289436,140520250000
2025-05-15,218.07,219.99,208.43,209.3,944213,150520250000
2025-05-16,210.95,213.25,208.52,210.7,263493,160520250000
2025-05-19,210,218.8,209.3,216.61,530179,190520250000
2025-05-20,218.45,219.5,211.1,212.78,206177,200520250000
2025-05-21,214.16,215.75,211.1,214.56,236421,210520250000
2025-05-22,215.5,217.99,210,211.57,227219,220520250000
2025-05-23,212.6,212.99,209.32,212.29,162147,230520250000
2025-05-26,214,216.5,213.11,214.97,138911,260520250000
2025-05-27,216,216.6,212.1,213.47,215526,270520250000
2025-05-28,212,218,210.5,215.7,458381,280520250000
2025-05-29,216.75,218.25,213.2,213.93,216339,290520250000
2025-05-30,214,215.15,207.2,209.03,301781,300520250000
2025-06-02,211.38,216.5,208.05,214.86,262130,020620250000
2025-06-03,214.86,226.99,214.67,219.78,720346,030620250000
2025-06-04,218.25,226.99,216.01,221.68,466139,040620250000
2025-06-05,221.62,229.8,216.8,217.71,387039,050620250000
2025-06-06,217.7,219.6,215.51,216.94,139430,060620250000
2025-06-09,218,223.62,218,222.44,277019,090620250000
2025-06-10,223.55,224.2,219.14,220.15,95189,100620250000
2025-06-11,221.25,226.99,217.01,225.26,694285,110620250000
2025-06-12,226.85,229.82,219.13,221.31,351794,120620250000
2025-06-13,218,219.99,214.06,216.94,185340,130620250000
2025-06-16,216.94,218.77,210,215.16,198861,160620250000
2025-06-17,216.23,218.48,210.05,210.63,170701,170620250000
2025-06-18,210.52,212.6,208.5,209.22,166950,180620250000
2025-06-19,209.2,210.93,201.34,201.92,233189,190620250000
2025-06-20,201.55,205.65,199.5,203.56,135304,200620250000
2025-06-23,201.7,205.42,200.1,204.88,135207,230620250000
2025-06-24,206.05,209.99,205.8,206.16,127921,240620250000
2025-06-25,206.99,214.35,206.99,213.31,201860,250620250000
2025-06-26,214.15,215.5,210,211.03,145691,260620250000
2025-06-27,212.9,213.42,210.1,211.25,127490,270620250000
2025-06-30,212.05,216,212.05,214.42,177494,300620250000
2025-07-01,215.39,218.71,212.4,214.5,226831,010720250000
2025-07-02,214.5,216,210.51,211.48,155263,020720250000
2025-07-03,211.48,212.95,209.35,210.1,107110,030720250000
2025-07-04,209.55,211.49,208.9,209.79,73817,040720250000
2025-07-07,211,211.88,206,206.72,118194,070720250000
2025-07-08,207.75,208.51,204.11,205.56,99146,080720250000
2025-07-09,205.51,206.98,204.55,205.29,121053,090720250000
2025-07-10,206.35,206.7,203.75,204.04,84525,100720250000
2025-07-11,204.5,204.99,201.11,202.41,115031,110720250000
2025-07-14,202.5,204,200,201.65,96630,140720250000
2025-07-15,202.6,208,202.6,205.49,149887,150720250000
2025-07-16,205.35,206,204.1,205.45,73955,160720250000
2025-07-17,206.5,207,204.15,206.65,91939,170720250000
2025-07-18,205.52,207.15,203.5,204.41,95836,180720250000
2025-07-21,204.9,216,203.05,213.73,626678,210720250000
2025-07-22,218,218,214,214.61,244141,220720250000
2025-07-23,215.6,220,213.15,218.3,425259,230720250000
2025-07-24,218.3,220.89,214.8,218.14,192685,240720250000
2025-07-25,217.56,217.56,212.1,213.57,109229,250720250000
2025-07-28,213.57,224.99,210.23,218.99,820284,280720250000
2025-07-29,223,250,222,248.01,5999655,290720250000
2025-07-30,250.9,296.9,250.89,287.94,17000794,300720250000
2025-07-31,279.5,344.4,276,334.54,25118496,310720250000
2025-08-01,320,331.65,301.25,306.25,9340983,010820250000
2025-08-04,311.95,336.85,311,336.85,4097112,040820250000
2025-08-05,341.4,356.9,341,343.3,3937769,050820250000
2025-08-06,341.4,369.7,334.65,363,3824172,060820250000
2025-08-07,360,372.6,352.55,367.75,1763390,070820250000
2025-08-08,366.5,381.4,356.75,362.35,1520239,080820250000
2025-08-11,368.95,388.7,365.4,369.2,1782728,110820250000
2025-08-12,370.1,390,367.4,374.65,1475490,120820250000
2025-08-13,371.2,384.9,369.55,371.65,975979,130820250000
2025-08-14,374,377.2,350.2,353.2,1268433,140820250000
2025-08-18,357.5,360.4,318.15,325.75,1393937,180820250000
2025-08-19,324.15,343.95,323.55,339.05,904446,190820250000
2025-08-20,338.05,372.95,331.05,372.95,925646,200820250000
2025-08-21,378.7,393.55,373.05,378.4,1546755,210820250000
2025-08-22,380,386,375.1,376.4,473981,220820250000
2025-08-25,379.9,389.6,376.5,383.6,738282,250820250000
2025-08-26,384,389.35,363.15,382.75,732003,260820250000
2025-08-28,381,386.45,371,378.65,483858,280820250000
2025-08-29,379.55,384.9,359.55,361.7,443154,290820250000
2025-09-01,364,374.15,363.05,371.6,315437,010920250000
2025-09-02,373.85,375,334.45,334.45,1063982,020920250000
2025-09-03,329.6,334,316,323.5,1007356,030920250000
