Date,Open,High,Low,Close,Volume,DateTime
2025-03-09,104.37,104.37,101.97,102.75,2646,
2025-03-10,96.41,96.41,87.45,89.09,154198,100320250000
2025-03-11,88,88,84.82,85.05,28527,110320250000
2025-03-12,85.1,89.71,82,82.6,57800,120320250000
2025-03-13,85.99,87.65,84.01,86.87,29728,130320250000
2025-03-17,87.1,88.14,82.36,84.23,30054,170320250000
2025-03-18,86.75,86.75,84.6,85.62,12433,180320250000
2025-03-19,87.5,91.59,87.5,90.33,11217,190320250000
2025-03-20,91.1,93.55,91.05,92.13,32335,200320250000
2025-03-21,91.23,95.22,91.23,93.65,10674,210320250000
2025-03-24,95.5,95.5,92.11,93.15,47169,240320250000
2025-03-25,94.9,94.9,92.72,93.29,18765,250320250000
2025-03-26,94,94.42,90,90.34,31083,260320250000
2025-03-27,85,90.79,84,84.71,56200,270320250000
2025-03-28,84,87.97,84,86.98,25660,280320250000
2025-04-01,87.48,90.78,86.5,88.53,14067,010420250000
2025-04-02,88.91,93,88.49,91.98,10258,020420250000
2025-04-03,93.17,93.92,90.41,93,12570,030420250000
2025-04-04,95.68,96.6,92,92.27,11105,040420250000
2025-04-07,84,90.99,84,89.82,7464,070420250000
2025-04-08,90.99,92.9,89.21,90.48,6199,080420250000
2025-04-09,92.93,92.93,86.27,90.7,3808,090420250000
2025-04-11,91.18,93.69,90.21,90.66,6363,110420250000
2025-04-15,89.91,94.86,89.91,93.12,12768,150420250000
2025-04-16,93.12,96.58,92.71,95,12358,160420250000
2025-04-17,96.67,96.74,94,95.38,6160,170420250000
2025-04-21,94.14,104.8,93.73,98.35,34476,210420250000
2025-04-22,103.8,106.03,97.35,98.41,62343,220420250000
2025-04-23,100.3,100.98,98,100.28,13324,230420250000
2025-04-24,100.3,102.13,99.11,100.89,7405,240420250000
2025-04-25,98.44,102.1,95.05,96.84,14268,250420250000
2025-04-28,96.84,99.48,93,98.33,20778,280420250000
2025-04-29,98.33,101.3,95.26,96.42,13217,290420250000
2025-04-30,97.61,101.39,87.52,90.13,61710,300420250000
2025-05-02,90.13,108.15,90.13,108.15,360151,020520250000
2025-05-05,113.9,117.9,105.2,106.98,420914,050520250000
2025-05-06,106.1,109.8,104.15,105.3,39345,060520250000
2025-05-07,103.7,104.9,99,100.83,52504,070520250000
2025-05-08,101,114.25,101,105.59,271159,080520250000
2025-05-09,100,104.74,100,102.02,33970,090520250000
2025-05-12,104.55,110.59,101.95,103.85,38399,120520250000
2025-05-13,104.63,109.9,103.86,108.34,15874,130520250000
2025-05-14,109.69,110.9,106.24,109.41,19029,140520250000
2025-05-15,108.55,111.9,106.9,109.28,28811,150520250000
2025-05-16,110.15,111.33,108.19,109.63,5309,160520250000
2025-05-19,110,114.99,108.63,112.86,48399,190520250000
2025-05-20,114.94,114.94,110,112.71,24281,200520250000
2025-05-21,114.9,114.9,109.9,110.2,10508,210520250000
2025-05-22,111.37,125.41,110.01,115.88,117602,220520250000
2025-05-23,116,117,112.95,114.67,13346,230520250000
2025-05-26,114.67,117.9,112.63,113.64,21381,260520250000
2025-05-27,113.06,114.79,110.2,111.71,10576,270520250000
2025-05-28,111.49,112.89,110.2,111.33,9139,280520250000
2025-05-29,110,113.01,110,111.88,11660,290520250000
2025-05-30,113.8,114.01,108.06,113.25,23574,300520250000
2025-06-02,114,115.5,111.76,114.62,13083,020620250000
2025-06-03,114.44,114.44,111.77,112.48,4803,030620250000
2025-06-04,112.58,113.5,111.52,113.06,9418,040620250000
2025-06-05,112.21,114.49,111.89,112.32,8300,050620250000
2025-06-06,114.57,114.57,110.4,111.77,8558,060620250000
2025-06-09,112.97,114.82,112.1,113.4,6415,090620250000
2025-06-10,115.03,115.03,111.15,111.88,10731,100620250000
2025-06-11,113.9,113.9,110.53,111.64,23870,110620250000
2025-06-12,112.16,113.4,111.11,111.8,10394,120620250000
2025-06-13,109.6,110.99,108.45,109.8,3863,130620250000
2025-06-16,108.55,111.59,107.54,109.84,7525,160620250000
2025-06-17,110.97,110.97,106.5,107.4,14252,170620250000
2025-06-18,108.18,109.18,106,106.71,13460,180620250000
2025-06-19,107.01,110.8,105.55,107.92,14423,190620250000
2025-06-20,108.83,109.96,107.03,109.44,4996,200620250000
2025-06-23,107.53,113.5,104.99,106.74,22184,230620250000
2025-06-24,106.74,109.6,106.4,106.97,9595,240620250000
2025-06-25,107.98,110.19,107.5,108.36,8026,250620250000
2025-06-26,109.5,110.6,107.31,108.56,3202,260620250000
2025-06-27,109.1,110.6,108.43,109,8588,270620250000
2025-06-30,109.45,113.37,109.08,111.5,16248,300620250000
2025-07-01,110.23,119.3,110.23,115.15,91313,010720250000
2025-07-02,115.37,117.53,109.41,111.18,21330,020720250000
2025-07-03,112.31,115,111.66,112.78,7401,030720250000
2025-07-04,111,112.99,108.99,110.68,24919,040720250000
2025-07-07,112.16,112.16,109.66,110.7,4846,070720250000
2025-07-08,113.45,113.5,108.9,109.68,11303,080720250000
2025-07-09,110.48,111.16,107.44,109.49,4859,090720250000
2025-07-10,111.05,112,108,109.88,5148,100720250000
2025-07-11,109.32,112.16,109,109.36,12743,110720250000
2025-07-14,109.36,109.95,107.2,107.88,6260,140720250000
2025-07-15,109.1,109.99,108.41,109.07,3396,150720250000
2025-07-16,110.9,110.9,108,109.99,1180,160720250000
2025-07-17,112.45,112.45,105.51,107.19,32708,170720250000
2025-07-18,107,110.18,105.86,109.58,21071,180720250000
2025-07-21,110.5,110.89,107.2,108.49,4732,210720250000
2025-07-22,109,110,108.1,108.53,3037,220720250000
2025-07-23,109.08,109.08,107.5,107.94,2321,230720250000
2025-07-24,107.94,108.85,105.96,108.01,11783,240720250000
2025-07-25,110,110,103.06,106.19,14946,250720250000
2025-07-28,106.57,108.19,105,105.01,3701,280720250000
2025-07-29,106.24,107.5,105,105.63,7228,290720250000
2025-07-30,103.12,109.8,103.12,107.97,6223,300720250000
2025-07-31,107.44,107.44,105.61,106.63,1273,310720250000
2025-08-01,106.82,107.5,102.1,103.19,12282,010820250000
2025-08-04,100.1,104.22,100,102.46,26150,040820250000
2025-08-05,104.51,104.51,100.6,102.38,5894,050820250000
2025-08-06,102.38,102.99,100.5,100.89,3479,060820250000
2025-08-07,99.35,101.81,98,99.38,2956,070820250000
2025-08-08,102,102,100.01,101.5,1734,080820250000
2025-08-11,102.5,102.5,96.1,97.8,8171,110820250000
2025-08-12,100.3,100.49,94.52,96.25,7107,120820250000
2025-08-13,96.25,100.67,96.25,99.69,7363,130820250000
2025-08-14,98.43,99.99,96.02,96.59,9483,140820250000
2025-08-18,98.97,100.37,96.6,98.41,4605,180820250000
